date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-06-08,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-06-08,1,1008.9,1011.7,--,20.2,18.9,21.8,92,3.0,南,,,×,×,,,
2018-06-08,2,1008.9,1011.7,--,19.8,18.8,21.7,94,1.9,南南西,,,×,×,,,
2018-06-08,3,1008.4,1011.2,--,19.6,18.8,21.7,95,2.5,南南西,,,×,×,,0+,20.0
2018-06-08,4,1008.4,1011.2,--,20.1,18.9,21.9,93,2.1,南南西,,0.00,×,×,,,
2018-06-08,5,1008.8,1011.6,--,20.2,19.0,22.0,93,2.2,南南西,0.0,0.03,×,×,,,
2018-06-08,6,1008.6,1011.4,--,21.3,19.2,22.3,88,2.5,南,0.9,0.46,×,×,,4,25.0
2018-06-08,7,1008.7,1011.5,--,23.4,19.8,23.0,80,3.1,南,0.9,1.08,×,×,,,
2018-06-08,8,1008.5,1011.3,--,23.3,19.7,22.9,80,3.7,南南西,0.7,1.30,×,×,,,
2018-06-08,9,1008.1,1010.9,--,24.5,20.2,23.7,77,4.0,南南東,0.2,1.07,×,×,,9,25.0
2018-06-08,10,1007.2,1010.0,--,24.8,19.6,22.9,73,5.4,南南東,0.6,2.40,×,×,,,
2018-06-08,11,1006.4,1009.2,--,25.6,19.7,23.0,70,5.3,南南東,0.5,2.34,×,×,,,
2018-06-08,12,1005.2,1007.9,--,26.7,19.8,23.1,66,4.7,南,0.5,2.46,×,×,,7,25.0
2018-06-08,13,1004.3,1007.1,--,25.9,19.8,23.1,69,5.5,南南東,0.6,2.64,×,×,,,
2018-06-08,14,1003.3,1006.0,--,27.5,20.3,23.9,65,6.9,南南東,1.0,2.87,×,×,,,
2018-06-08,15,1002.6,1005.3,--,26.0,19.4,22.5,67,6.2,南南東,0.6,1.86,×,×,,10-,25.0
2018-06-08,16,1002.5,1005.2,--,25.5,19.6,22.9,70,6.0,南南東,0.4,1.39,×,×,,,
2018-06-08,17,1001.8,1004.6,--,25.2,20.0,23.4,73,4.0,南,0.3,0.91,×,×,,,
2018-06-08,18,1001.8,1004.6,--,24.8,19.6,22.9,73,5.2,南,0.1,0.44,×,×,,10-,15.0
2018-06-08,19,1001.7,1004.5,--,24.4,19.7,22.9,75,3.7,南,0.0,0.08,×,×,,,
2018-06-08,20,1002.0,1004.8,0.0,24.4,19.9,23.2,76,3.6,南,,0.00,×,×,,,
2018-06-08,21,1001.5,1004.3,0.0,24.4,19.9,23.2,76,2.8,南,,,×,×,,10-,20.0
2018-06-08,22,1001.7,1004.5,--,24.3,19.8,23.1,76,3.2,南南西,,,×,×,,,
2018-06-08,23,1001.7,1004.5,0.0,23.8,20.2,23.6,80,5.4,南西,,,×,×,,,
2018-06-08,24,1001.3,1004.1,1.0,22.0,21.7,25.9,98,4.3,南南西,,,×,×,,,
