date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-06-06,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-06-06,1,1009.7,1012.5,0.0,22.2,17.4,19.8,74,1.6,南,,,×,×,,,
2018-06-06,2,1010.0,1012.8,--,22.6,16.2,18.4,67,1.8,南西,,,×,×,,,
2018-06-06,3,1010.4,1013.2,0.0,21.5,16.7,19.0,74,1.6,南南西,,,×,×,,10,15.0
2018-06-06,4,1010.8,1013.6,0.0,20.6,18.0,20.6,85,1.8,西北西,,0.00,×,×,,,
2018-06-06,5,1011.1,1013.9,0.0,19.4,18.9,21.9,97,1.5,南西,0.0,0.01,×,×,,,
2018-06-06,6,1011.4,1014.2,0.0,19.9,19.3,22.3,96,1.0,西,0.0,0.11,×,×,,10,15.0
2018-06-06,7,1011.9,1014.7,0.5,20.7,20.1,23.4,96,1.4,南西,0.0,0.30,×,×,,,
2018-06-06,8,1011.4,1014.2,0.0,22.5,19.9,23.2,85,1.8,南西,0.0,0.84,×,×,,,
2018-06-06,9,1011.1,1013.9,0.0,22.4,18.8,21.7,80,1.1,西南西,0.0,0.89,×,×,,10,15.0
2018-06-06,10,1011.4,1014.2,0.0,20.7,19.2,22.2,91,2.6,西南西,0.0,0.62,×,×,,,
2018-06-06,11,1011.0,1013.8,0.5,21.6,20.3,23.7,92,1.5,南西,0.0,0.84,×,×,,,
2018-06-06,12,1010.1,1012.9,0.0,21.9,20.4,23.9,91,1.4,南,0.0,1.01,×,×,,10,15.0
2018-06-06,13,1010.0,1012.8,1.0,20.8,20.2,23.6,96,0.9,南南西,0.0,0.44,×,×,,,
2018-06-06,14,1009.7,1012.5,2.0,19.9,19.6,22.8,98,0.4,北北西,0.0,0.33,×,×,,,
2018-06-06,15,1009.2,1012.0,2.0,20.1,20.1,23.5,100,1.3,北西,0.0,0.30,×,×,,10,4.00
2018-06-06,16,1008.8,1011.6,1.0,19.7,19.6,22.7,99,2.0,北,0.0,0.23,×,×,,,
2018-06-06,17,1009.3,1012.1,1.0,18.7,18.7,21.6,100,2.0,北,0.0,0.08,×,×,,,
2018-06-06,18,1009.6,1012.4,1.5,18.3,18.1,20.8,99,1.7,北,0.0,0.07,×,×,,10,8.00
2018-06-06,19,1009.8,1012.6,0.5,18.6,18.6,21.4,100,2.0,北,0.0,0.01,×,×,,,
2018-06-06,20,1009.8,1012.6,0.5,19.0,18.5,21.3,97,2.5,北北東,,0.00,×,×,,,
2018-06-06,21,1010.4,1013.2,0.0,19.0,18.7,21.5,98,1.9,北北東,,,×,×,,10,4.00
2018-06-06,22,1010.2,1013.0,0.5,19.0,18.8,21.8,99,2.6,北北東,,,×,×,,,
2018-06-06,23,1010.4,1013.2,0.5,18.7,18.7,21.6,100,2.2,北北西,,,×,×,,,
2018-06-06,24,1010.5,1013.3,1.0,18.7,18.7,21.6,100,1.2,北北西,,,×,×,,,
