date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-08-18,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-08-18,1,1009.4,1012.2,--,20.7,11.4,13.4,55,1.4,北北東,,,×,×,,,
2018-08-18,2,1009.3,1012.1,--,21.1,10.9,13.0,52,1.7,北北西,,,×,×,,,
2018-08-18,3,1009.5,1012.3,--,20.8,10.9,13.0,53,2.9,北北西,,,×,×,,1,20.0
2018-08-18,4,1009.6,1012.4,--,18.7,11.8,13.8,64,1.2,北,,,×,×,,,
2018-08-18,5,1010.1,1012.9,--,18.7,12.0,14.0,65,1.4,北,,0.00,×,×,,,
2018-08-18,6,1011.0,1013.8,--,19.7,12.7,14.7,64,2.4,北北西,0.2,0.17,×,×,,10-,30.0
2018-08-18,7,1011.0,1013.8,--,20.8,13.3,15.2,62,1.8,北西,1.0,0.77,×,×,,,
2018-08-18,8,1011.1,1013.9,--,22.3,12.8,14.8,55,1.6,北西,1.0,1.34,×,×,,,
2018-08-18,9,1011.1,1013.9,--,23.7,11.7,13.8,47,2.4,北東,1.0,2.23,×,×,,10-,30.0
2018-08-18,10,1011.0,1013.8,--,25.5,14.0,16.0,49,2.1,西北西,1.0,2.73,×,×,,,
2018-08-18,11,1010.6,1013.4,--,26.2,12.7,14.6,43,3.1,東南東,1.0,3.21,×,×,,,
2018-08-18,12,1010.0,1012.8,--,25.5,13.4,15.3,47,3.7,南,1.0,3.22,×,×,,8,25.0
2018-08-18,13,1009.8,1012.6,--,25.9,12.4,14.4,43,3.2,南南東,1.0,2.96,×,×,,,
2018-08-18,14,1009.5,1012.3,--,25.9,14.1,16.0,48,4.7,南南東,0.9,2.67,×,×,,,
2018-08-18,15,1009.2,1012.0,--,25.2,15.3,17.3,54,4.7,南南東,0.9,2.15,×,×,,10-,25.0
2018-08-18,16,1009.3,1012.1,--,25.3,15.1,17.1,53,4.2,南東,1.0,1.93,×,×,,,
2018-08-18,17,1009.6,1012.4,--,24.0,14.7,16.7,56,3.9,南南東,1.0,1.17,×,×,,,
2018-08-18,18,1009.8,1012.6,--,23.5,14.2,16.2,56,4.5,南東,0.5,0.38,×,×,,10-,25.0
2018-08-18,19,1010.4,1013.2,--,23.3,12.9,14.9,52,5.0,南南東,0.0,0.02,×,×,,,
2018-08-18,20,1011.0,1013.8,--,22.7,14.6,16.6,60,3.6,南東,,,×,×,,,
2018-08-18,21,1011.5,1014.3,--,22.3,15.7,17.8,66,4.4,南東,,,×,×,,10-,25.0
2018-08-18,22,1011.6,1014.4,--,22.1,16.8,19.2,72,3.2,南東,,,×,×,,,
2018-08-18,23,1011.6,1014.4,--,20.5,16.3,18.6,77,1.8,南南東,,,×,×,,,
2018-08-18,24,1011.4,1014.2,--,20.0,16.8,19.2,82,0.8,南南東,,,×,×,,,
