date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-08-15,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-08-15,1,1010.8,1013.5,--,27.9,24.1,30.1,80,6.3,南,,,×,×,,,
2018-08-15,2,1010.9,1013.6,--,27.8,24.0,29.9,80,4.8,南南西,,,×,×,,,
2018-08-15,3,1010.8,1013.6,--,27.5,24.0,29.7,81,3.8,南,,,×,×,,8,20.0
2018-08-15,4,1010.9,1013.7,--,27.6,23.8,29.6,80,4.4,南南西,,,×,×,,,
2018-08-15,5,1011.4,1014.2,--,27.4,23.9,29.6,81,4.9,南,0.0,0.00,×,×,,,
2018-08-15,6,1011.8,1014.6,--,27.8,24.2,30.3,81,3.6,南南西,0.4,0.21,×,×,,10-,25.0
2018-08-15,7,1012.1,1014.8,--,29.2,24.1,30.0,74,6.0,南南西,1.0,0.89,×,×,,,
2018-08-15,8,1012.0,1014.7,--,30.9,24.8,31.3,70,4.0,南,1.0,1.58,×,×,,,
2018-08-15,9,1011.9,1014.6,--,31.5,23.9,29.6,64,6.0,南,1.0,1.81,×,×,,10-,25.0
2018-08-15,10,1011.6,1014.3,--,31.8,23.6,29.2,62,7.2,南南西,1.0,2.36,×,×,,,
2018-08-15,11,1011.3,1014.0,--,31.9,24.2,30.3,64,5.7,南南西,1.0,2.61,×,×,,,
2018-08-15,12,1010.7,1013.4,--,32.7,24.2,30.2,61,5.7,南,1.0,2.88,×,×,,10-,25.0
2018-08-15,13,1010.2,1012.9,--,32.4,23.9,29.7,61,6.7,南南西,1.0,2.97,×,×,,,
2018-08-15,14,1009.4,1012.1,--,32.5,24.5,30.8,63,7.7,南南東,1.0,2.84,×,×,,,
2018-08-15,15,1009.0,1011.7,--,32.0,23.5,29.0,61,6.9,南,1.0,2.22,×,×,,10-,25.0
2018-08-15,16,1008.6,1011.3,--,31.3,24.9,31.5,69,6.4,南,0.9,1.85,×,×,,,
2018-08-15,17,1008.4,1011.1,--,30.1,24.5,30.7,72,6.5,南,1.0,1.13,×,×,,,
2018-08-15,18,1008.5,1011.2,--,29.4,23.6,29.1,71,6.2,南,0.5,0.34,×,×,,10-,25.0
2018-08-15,19,1009.0,1011.7,--,29.0,24.3,30.5,76,5.4,南南西,0.0,0.02,×,×,,,
2018-08-15,20,1009.1,1011.8,--,29.0,23.9,29.7,74,6.2,南,,0.00,×,×,,,
2018-08-15,21,1009.2,1011.9,--,28.6,24.2,30.2,77,6.1,南,,,×,×,,10-,20.0
2018-08-15,22,1008.6,1011.3,--,28.5,24.3,30.4,78,5.7,南南西,,,×,×,,,
2018-08-15,23,1008.1,1010.8,--,28.3,24.3,30.4,79,6.3,南南西,,,×,×,,,
2018-08-15,24,1007.5,1010.2,--,27.9,23.9,29.7,79,6.3,南,,,×,×,,,
