date,時,気圧(hPa),気圧(hPa).1,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風向・風速(m/s),風向・風速(m/s).1,日照 時間 (h),全天 日射量 (MJ/㎡),雪(cm),雪(cm).1,天気,雲量,視程 (km)
2018-08-02,時,現地,海面,降水量 (mm),気温 (℃),露点 温度 (℃),蒸気圧 (hPa),湿度 (％),風速,風向,日照 時間 (h),全天 日射量 (MJ/㎡),降雪,積雪,天気,雲量,視程 (km)
2018-08-02,1,1001.1,1003.8,--,27.7,25.3,32.3,87,0.9,南南西,,,×,×,,,
2018-08-02,2,1001.0,1003.7,--,27.5,25.9,33.4,91,2.2,南南東,,,×,×,,,
2018-08-02,3,1001.2,1003.9,--,27.1,26.1,33.7,94,1.6,南南東,,,×,×,,0,20.0
2018-08-02,4,1001.5,1004.2,--,26.9,26.2,34.0,96,1.4,南,,,×,×,,,
2018-08-02,5,1001.9,1004.6,--,28.4,25.6,32.9,85,1.8,北北西,0.0,0.01,×,×,,,
2018-08-02,6,1002.0,1004.7,--,28.5,25.7,33.1,85,1.8,北北西,0.5,0.21,×,×,,0+,20.0
2018-08-02,7,1002.4,1005.1,--,29.2,25.4,32.4,80,2.7,北北西,0.6,0.64,×,×,,,
2018-08-02,8,1002.5,1005.2,--,31.4,23.0,28.1,61,2.8,北北西,1.0,1.50,×,×,,,
2018-08-02,9,1002.4,1005.1,--,32.7,22.2,26.7,54,1.8,北西,1.0,2.17,×,×,,6,25.0
2018-08-02,10,1002.5,1005.2,--,34.0,21.8,26.1,49,2.4,北西,1.0,2.74,×,×,,,
2018-08-02,11,1002.1,1004.8,--,35.0,21.7,25.9,46,3.2,北東,1.0,3.12,×,×,,,
2018-08-02,12,1001.6,1004.2,--,36.2,22.0,26.4,44,2.5,北北東,1.0,3.32,×,×,,7,25.0
2018-08-02,13,1001.1,1003.7,--,36.5,21.1,25.1,41,1.2,南西,1.0,3.45,×,×,,,
2018-08-02,14,1000.9,1003.6,--,35.6,26.9,35.5,61,4.3,南南東,0.7,2.25,×,×,,,
2018-08-02,15,1000.9,1003.6,--,34.1,26.1,33.7,63,3.2,南南東,0.5,1.25,×,×,,10-,20.0
2018-08-02,16,1001.3,1004.0,0.0,33.0,24.8,31.2,62,2.9,南東,0.0,0.56,×,×,,,
2018-08-02,17,1001.5,1004.2,0.0,33.3,25.0,31.7,62,4.0,南東,0.0,0.43,×,×,,,
2018-08-02,18,1001.7,1004.4,0.0,32.5,25.1,31.8,65,5.2,南東,0.0,0.21,×,×,,10-,15.0
2018-08-02,19,1002.4,1005.1,0.0,31.2,25.3,32.3,71,4.1,南東,0.0,0.04,×,×,,,
2018-08-02,20,1002.9,1005.6,--,30.4,25.2,32.1,74,3.7,南東,,0.00,×,×,,,
2018-08-02,21,1003.0,1005.7,--,30.3,25.6,32.8,76,3.0,南東,,,×,×,,10-,15.0
2018-08-02,22,1003.1,1005.8,--,30.1,25.0,31.6,74,2.3,南南東,,,×,×,,,
2018-08-02,23,1003.2,1005.9,--,28.8,25.6,32.9,83,1.3,南,,,×,×,,,
2018-08-02,24,1002.9,1005.6,--,27.9,25.0,31.6,84,2.6,南南東,,,×,×,,,
